id,short id,reltype,l1 ns,l2 ns,proptype,label ,definitions,altlabel,datatype,domain (RC),range,domainIncludes,rangeIncludes,subproperties,subPropertyOf
http://schema.org/hasPart,hasPart,R,1,2,partsOf,hasPart,"Indicates an item or CreativeWork that is part of this item, or CreativeWork (in some sense).",isPartOf,,ConceptualWork,thing,"http://schema.org/CreativeWork, http://schema.org/Trip","http://schema.org/CreativeWork, http://schema.org/Trip","http://schema.org/containsSeason, http://schema.org/episode, http://schema.org/hasDefinedTerm, http://schema.org/season",
http://schema.org/inAlbum,inAlbum,R,1,2,partsOf,inAlbum,The album to which this recording belongs.,,,RecordedSoundProduct,thing,http://schema.org/MusicRecording,http://schema.org/MusicAlbum,,
http://schema.org/includedDataCatalog,includedDataCatalog,R,1,2,partsOf,includedDataCatalog,"A data catalog which contains this dataset (this property was previously 'catalog', preferred name is now 'includedInDataCatalog').",,,Dataset,thing,http://schema.org/Dataset,http://schema.org/DataCatalog,,
http://schema.org/includedInDataCatalog,includedInDataCatalog,R,1,2,partsOf,includedInDataCatalog,A data catalog which contains this dataset.,catalog||includedDataCatalog,,Dataset,thing,http://schema.org/Dataset,http://schema.org/DataCatalog,,
http://schema.org/isConsumableFor,isConsumableFor,R,1,2,partsOf,isConsumableFor,A pointer to another product (or multiple products) for which this product is a consumable.,,,Product,thing,http://schema.org/Product,http://schema.org/Product,,
http://schema.org/isPartOf,isPartOf,R,1,2,partsOf,isPartOf,"Indicates an item or CreativeWork that this item, or CreativeWork (in some sense), is part of.",hasPart,,ConceptualWork,thing,"http://schema.org/CreativeWork, http://schema.org/Trip","http://schema.org/CreativeWork, http://schema.org/Trip","http://schema.org/inDefinedTermSet, http://schema.org/partOfEpisode, http://schema.org/partOfSeason, http://schema.org/partOfSeries, http://schema.org/partOfTVSeries",
http://schema.org/item,item,R,1,2,partsOf,item,An entity represented by an entry in a list or data feed (e.g. an 'artist' in a list of 'artists')’.,,,DataStream,thing,"http://schema.org/DataFeedItem, http://schema.org/ListItem",http://schema.org/Thing,,
http://schema.org/partOfEpisode,partOfEpisode,R,1,2,partsOf,partOfEpisode,The episode to which this clip belongs.,,,RecordingOfWaveIBT,thing,http://schema.org/Clip,http://schema.org/Episode,,http://schema.org/isPartOf
http://schema.org/partOfInvoice,partOfInvoice,R,1,2,partsOf,partOfInvoice,The order is being paid as part of the referenced Invoice.,,,Receipt,thing,http://schema.org/Order,http://schema.org/Invoice,,
http://schema.org/partOfOrder,partOfOrder,R,1,2,partsOf,partOfOrder,The overall order the items in this delivery were included in.,,,Package-delivery,thing,http://schema.org/ParcelDelivery,http://schema.org/Order,,
http://schema.org/partOfSeason,partOfSeason,R,1,2,partsOf,partOfSeason,The season to which this episode belongs.,,,RecordingOfWaveIBT,thing,"http://schema.org/Clip, http://schema.org/Episode",http://schema.org/CreativeWorkSeason,,http://schema.org/isPartOf
http://schema.org/partOfSeries,partOfSeries,R,1,2,partsOf,partOfSeries,The series to which this episode or season belongs.,partOfTVSeries,,RecordingOfWaveIBT,thing,"http://schema.org/Clip, http://schema.org/CreativeWorkSeason, http://schema.org/Episode",http://schema.org/CreativeWorkSeries,,http://schema.org/isPartOf
http://schema.org/partOfTVSeries,partOfTVSeries,R,1,2,partsOf,partOfTVSeries,The TV series to which this episode or season belongs.,,,TVMediaProduct,thing,"http://schema.org/TVClip, http://schema.org/TVEpisode, http://schema.org/TVSeason",http://schema.org/TVSeries,,http://schema.org/isPartOf
http://schema.org/softwareAddOn,softwareAddOn,R,1,2,partsOf,softwareAddOn,Additional content for a software application.,,,SoftwareObject-Individual,thing,http://schema.org/SoftwareApplication,http://schema.org/SoftwareApplication,,
http://schema.org/subOrganization,subOrganization,R,1,2,partsOf,subOrganization,"A relationship between two organizations where the first includes the second, e.g., as a subsidiary. See also: the more specific 'department' property.",parentOrganization,,Organization,thing,http://schema.org/Organization,http://schema.org/Organization,,
http://schema.org/subReservation,subReservation,R,1,2,partsOf,subReservation,The individual reservations included in the package. Typically a repeated property.,,,Reservation,thing,http://schema.org/ReservationPackage,http://schema.org/Reservation,,
http://schema.org/tracks,tracks,R,1,2,partsOf,tracks,A music recording (track)&#x2014;usually a single song.,,,RecordedSoundProduct,thing,"http://schema.org/MusicGroup, http://schema.org/MusicPlaylist",http://schema.org/MusicRecording,,
http://schema.org/vehicleEngine,vehicleEngine,R,1,2,partsOf,vehicleEngine,Information about the engine or engines of the vehicle.,,,Automobile,thing,http://schema.org/Vehicle,http://schema.org/EngineSpecification,,
http://schema.org/applicationSuite,applicationSuite,R,1,2,partsOfData,applicationSuite,The name of the application suite to which the application belongs (e.g. Excel belongs to Office).,,,SoftwareObject-Individual,string,http://schema.org/SoftwareApplication,http://schema.org/Text,,
http://schema.org/boardingGroup,boardingGroup,R,1,2,partsOfData,boardingGroup,The airline-specific indicator of boarding order / preference.,,,AirlineReservation,string,http://schema.org/FlightReservation,http://schema.org/Text,,
http://schema.org/ingredients,ingredients,R,1,2,partsOfData,ingredients,"A single ingredient used in the recipe, e.g. sugar, flour or garlic.",,,Recipe-CW,string,http://schema.org/Recipe,http://schema.org/Text,,http://schema.org/supply
http://schema.org/recipeIngredient,recipeIngredient,R,1,2,partsOfData,recipeIngredient,"A single ingredient used in the recipe, e.g. sugar, flour or garlic.",ingredients,,Recipe-CW,string,http://schema.org/Recipe,http://schema.org/Text,,http://schema.org/supply
http://schema.org/track,track,R,1,2,partsOfData,track,"A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording.",tracks,,RecordedSoundProduct,string,"http://schema.org/MusicGroup, http://schema.org/MusicPlaylist","http://schema.org/ItemList, http://schema.org/MusicRecording",,
http://schema.org/vehicleTransmission,vehicleTransmission,R,1,2,partsOfData,vehicleTransmission,"The type of component used for transmitting the power from a rotating power source to the wheels or other relevant component(s) (""gearbox"" for cars).",,,Automobile,string,http://schema.org/Vehicle,"http://schema.org/QualitativeValue, http://schema.org/Text, http://schema.org/URL",,
http://schema.org/isBasedOn,isBasedOn,R,1,3,descendants,isBasedOn,"A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.",isBasedOnUrl,,ConceptualWork,thing,http://schema.org/CreativeWork,"http://schema.org/CreativeWork, http://schema.org/Product, http://schema.org/URL",,
http://schema.org/parentOrganization,parentOrganization,R,1,3,descendants,parentOrganization,"The larger organization that this organization is a <a class=""localLink"" href=""http://schema.org/subOrganization"">subOrganization</a> of, if any.",branchOf,,Organization,thing,http://schema.org/Organization,http://schema.org/Organization,,
http://schema.org/predecessorOf,predecessorOf,R,1,3,descendants,predecessorOf,"A pointer from a previous, often discontinued variant of the product to its newer variant.",,,ProductModel,thing,http://schema.org/ProductModel,http://schema.org/ProductModel,,
